study_id,study_title,study_publication_year,study_evidence_type,offset_category_general,continent,country,subnational_region,subnational_region_type,species_common_name,species_scientific_name,species_taxonomic_group,ecosystem_type,ecosystem_broad_type,project_type,project_broad_type,program_name,program_type,program_mechanism_type,program_status,program_scope_level,program_scope_location,program_related,project_delivery_type,policy_name,policy_type,policy_note,policy_jurisdiction_level,policy_jurisdiction_note,policy_jurisdiction_location,policy_status,policy_year_adopted,policy_description,permanence_risk_domain,permanence_risk_category,permanence_risk_type,permanence_risk_evidence_and_reasoning
118,The incidence of fire in amazonian forests with implications for REDD,2010,direct empirical,carbon,South America,Brazil,NA,NA,NA,NA,NA,Amazonian forest,Forest,avoided deforestation; forest protection,Protection,REDD+,voluntary,project-based mechanism,active,international,Global,NA,NA,UNFCCC REDD+,framework,Overarching legislation or policy providing foundational principles.,international,Applies globally or through international institutions.,Global,active,2005,Developed under the UNFCCC to incentivize emissions reductions through avoided deforestation and forest degradation; includes safeguards and provisions for biodiversity co-benefits.,physical,Climate and Environmental Disturbances,Fire,"By combining deforestation and fire trend results (excluding all grid cells with null slope), we were able to analyze the behavior of fire incidence in areas with increased and decreased deforestation rates (19). Most grid cells with increased deforestation rates (81%, positive regression slopes) are overlapped by grid cells with positive fire trends (Fig. 2, A and BOpens in image viewer), which confirms the expectation that fire occurrence increases with deforestation (17). Much more surprisingly, though, most of the grid cells (59%) with decreased deforestation rates (negative regression slopes) also show increased fire frequency (Fig. 2, A and BOpens in image viewer). These results were also confirmed by using the 2000 to 2006 time series for both AVHRR hot pixels and PRODES deforestation rates, as well as by using Moderate Resolution Imaging Spectroradiometer (MODIS) fire data instead of AVHRR (19). These findings suggest that, over 31% of the study area, the pattern is more consistent with increased fire frequency despite reduced deforestation—although, over 13% of the area, the trend is consistent with increased fire with deforestation. Fires following drought years are likely to release a similar amount of carbon as emissions from deliberate deforestation (7, 8). The combined effect of deliberate deforestation and forest fires has a similar magnitude to the natural annual carbon sink of 0.45 (0.3 to 0.6) Gt C estimated for undisturbed Amazonian forests (9). The higher probability of a drier Amazon in the 21st century predicted by some global circulation models (10, 11), and consequent increasing drought intensity and frequency, may push Amazonia toward an amplified fire-prone system (12). Previous studies (13, 14) have shown an increase in fire occurrence following two large-scale Amazonian droughts (1998 and 2005). Changes in fire frequency could jeopardize the benefits achieved through REDD; however, despite its vital importance in this region, fire is currently neglected in the emerging UN framework."
119,The leaky sink: Persistent obstacles to a forest carbon sequestration program based on individual projects,2001,legal and policy,carbon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-physical,"Data, Transparency, and Capacity Issues","Capacity, Expertise, and Resource Gaps","3.2.1. Large numbers
The problems associated with asymmetries of information might be overcome by careful scrutiny of each proposal and monitoring of each ongoing project (though the previous discussion of measurement issues casts doubt on the possibility). However, any program with enough projects to have a substantial effect on net emissions will involve thousands or even tens of thousands of projects. This makes it more likely that the agency will not be able to carefully analyze each proposal. 

3.2.2. Variety of projects
If all the projects were of a similar type where estimation methods could be easily standardized, the difficulties of asymmetric information, opportunistic behavior, and large numbers might be managed through procedural rules and standard certification criteria (Tietenberg et al., 1999, pp. 11, 71). The problem is that there are a multitude of project types, each set in its own legal, cultural and economic context. As with so many types of project analysis, carbon offset estimation will inevitably remain idiosyncratic.

3.1.2. Moral hazard
Carbon sequestration projects are generally long-lived, complex activities. They require continuous care to reach full potential. If an implementation program is designed to provide rewards at the outset of the project, as most proposals seem to imply, then a situation of moral hazard develops. Having reaped the reward of predicted carbon sequestration, the developer has little incentive to take optimal care of the project to assure long-term success. Only monitoring on the part of the agency can overcome this problem."
120,The politics of biodiversity offsetting across time and institutional scales,2021,legal and policy,biodiversity,North America; Oceania,United States of America; Australia,NA,NA,NA,NA,NA,NA,NA,NA,NA,US Mitigation Banking; NSW Biodiversity Offsets; Victoria Native Vegetation Framework,compliance,banking; permitting,active,national; subnational,USA; Australia,NA,NA,US Clean Water Act Section 404; NSW Biodiversity Conservation Act; Victoria Planning and Environment Act,legislation,Statutory law passed by a legislature.,national; subnational,"Applies to a single country at federal level.; Applies to states, provinces, or regions.",USA; Australia,active,1972; 2016; 1987,"Section 404 governs permitting for wetland and stream impacts.; Modernized biodiversity legislation in NSW that integrates offsetting via the Biodiversity Assessment Method and biodiversity credits.; Establishes the legal framework for land use planning and development in Victoria, including environmental impact assessment and integration of biodiversity offsetting policy.",non-physical,Political Risks,Regime Changes and Policy Reversal,"While reformists faced the resistance of radicals in international, transnational and European circles, they also experienced a backlash from Prometheans and neoliberals in Anglo-American countries from the 2010s (Table 2, rows 1 and 3). In Australia, some states renounced net-gain objectives in 2013 and weakened the like-for-like offset principle37,38. Rio Tinto, despite its transnational leadership role in the BBOP, renounced its corporate-wide net-positive-impact commitment in 201739 (Fig. 1, location 20). With the Trump Presidency, Promethean rationales have promoted the de-institutionalization of wetland protection and permit approval processes40 (Fig. 1, location 21).

In Europe, the ecological modernist transition weakened, and investments in offset compliance markets remained relatively slow. BBOP was closed in December 2018, with a call for action, highlighting the gap between declarations and enactments41. Some former BBOP members continue supporting businesses to deliver net-positive outcomes via new transnational and European networks, such as the Natural Capital Coalition initiative. With the return of Prometheans and international scientific reports urging transformative change in the face of climate change and biodiversity depletion42, radical coalitions have brought strong sustainability back to the political agenda (Fig. 1, location 22)."
121,The status of forest carbon markets in Latin America,2024,review and discussion,carbon,NA,NA,NA,NA,NA,NA,NA,tropical rainforest; seasonally dry forest,Forest,afforestation; reforestation; improved forest management; avoided conversion,Creation; Restoration; Ecosystem Management; Protection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-physical,"Data, Transparency, and Capacity Issues; Socioeconomic and Equity Risks; Political Risks",Poor Management and Monitoring; Land Tenure and Access Conflicts; Regime Changes and Policy Reversal,"Due to historical colonial land policies, the LATAM region has suffered numerous conflicts of interest and internal confrontations due to poor recognition of human rights and violations of the principles of freedom and knowledge. As a result, there is a growing demand for land and its natural resources, which has resulted in escalating land conflicts and violence with IPLCs fighting for land tenure rights. This instability has aggravated forest conservation challenges, as local communities are losing land tenure rights, resources, and territories due to various political factions in LATAM (Streck, 2020). According to Cabrera et al. (2020), the forests most threatened by deforestation are small and medium-sized forests with up to 100,000 inhabitants, as confrontations expand local economic growth at the cost of extensive natural forest destruction.

Having a robust MRV process is integral for a high-quality carbon market; this is the source data used to evaluate project success. Improvements should be made to the MRV process through maintaining transparency and standardization throughout data collection protocols and ensuring that reference datasets are available (Morales-Barquero et al., 2019). There are valid concerns and evidence of malpractices around carbon monitoring that include faulty additionality calculations, systematic measurement biases, inaccurate baselines, and intentionally overstated impacts on avoided deforestation (Rifai et al., 2015; West et al., 2020, 2023). Transitioning towards a compatible D-MRV system would improve the credibility and transparency of carbon markets through storage of raw data in the cloud, which would ensure full data traceability during verification and prevent data tampering (World Bank, 2022). Automation of data collection and analysis by incorporating AI and machine learning would standardize the MRV process in a D-MRV system, and further improve the credibility and transparency of credits (World Bank, 2022).

Many carbon sinks affected are in lands where indigenous or local rights are minimal (Rights and Resources Initiative, 2020). Some examples include the establishment of palm oil plantations in various regions in LATAM (Ramos-Castillo et al., 2017); the Mapuche people in Chile claiming pollution from forest plantations (Reinao, 2008); and the Kichwa people claiming their government sold credits from the Peruvian Cordillera Azul National Park without consultation (Forest Peoples Programme, 2021). These consequences heighten the drawbacks already faced by local communities, including human rights transgressions, prejudice, and deprivation (Chatty and Colchester, 2002; Dowie, 2009; United Nations, 2009).
Local communities are disproportionately vulnerable to the impacts of climate change, which include famine, displacement, and infrastructural changes, and this stresses the need to provide adequate support to IPLCs to ensure effective stewardship of these lands (Ford, 2012; Williams, 2012; Lynn et al., 2013). In Ecuador, IPLC lands span 29% of the total land area, and 64% remain relatively untouched, indicating good ecological conditions. However, development pressures persist, as 31% of IPLC lands are subject to active oil and gas concessions. This lack of recognition of IPLC rights may diminish their influence in decision-making processes related to potential development pressures. Recognizing and respecting their rights could double protected or conserved lands in Ecuador from 22% to 44% (WWF et al., 2021)."
122,Thirty years of species conservation banking in the U.S.: Comparing policy to practice,2017,review and discussion,biodiversity,North America,United States of America,NA,NA,NA,NA,NA,NA,NA,species conservation,Species Management,US Conservation Banking,compliance,banking,active,national,USA,NA,Mitigation Banking,US Endangered Species Act,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1973,Establishes protections for listed species and their habitats and enables use of conservation banking.,non-physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues; Financial Risks",Lack of Liability and Accountability; Limited Data Transparency; Inadequate Financial Planning,"The general practices included in Category 1 are useful for determining the general design of SCBs. Since there is no standardized reporting format, the number and type of documents available for each SCB varies widely. This lack of consistency and its implications are addressed in Category 2. Our assessment was limited to the data available in the credit ledger, for information about credit accounting, and in the documents posted on RIBITS, which were reviewed for keywords that relate to the SCB practices outlined above. If the practice was reported in the available documentation, and language was included suggesting how it was addressed or accomplished, then we considered that the SCB fulfill that category; practices that were not reported resulted in SCBs not fulfilling the corresponding category. Our assumption was that the documents were fully inclusive of all practices implemented, and that the reported practices reflect the full actual implementation on-the-ground. We cannot discern whether SCBs are implementing practices that are not mentioned, or not fully implementing those that are reported from RIBITS. However, RIBITS is the only federally-managed database that centralizes documentation related to SCBs, and the only federal platform with the potential of providing a snapshot of bank practices without resorting to field assessments.

Only 69% of approved SCBs make their documentation available in RIBITS, and the number and type of documents available varies significantly. For some banks only the Conservation Banking Agreement (CBA) has been uploaded (6%); for others, several administrative documents, legal agreements, and/or management plans are available in the on-line repository, providing information on banking practices that are usually not included in CBAs (e.g., credit evaluation tables, conservation easement deeds, development plans).

Many of the SCBs report practices for components related to the success of the strategy from a management (and monitoring), legal, administrative and financial perspective. All but one SCB included legal documentation that protects the area in perpetuity. Additionally, to reduce financial risk, which is always held by the bank owner, at least until all the credits are sold, almost all SCBs establish endowment funds, and 67% have additional financial assurances in place, as stipulated in the documentation available. In terms of management and monitoring, almost every SCB reviewed (92) included documentation stipulating monitoring of the bank area and reporting of the monitoring results; in 74% there is explicit reference to parcel level adaptive management as a way to improve outcomes over time.

Force Majeure	“The bank should not be held responsible for offsetting acts of nature that are unforeseen, or foreseeable but unpredictable”	H	In none of the CBAs the bank developer holds the risk in case of force majeure events. In all SCBs, besides Force Majeure events, bank developer bears the full financial risk. Successors responsible of management and monitoring"
123,"Towards Unpacking the Theory Behind, and a Pragmatic Approach to Biodiversity Offsets",2020,legal and policy,biodiversity,Africa,South Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-physical,"Compliance, Legal, and Governance Risks; Financial Risks",Lack of Liability and Accountability; Financial Mismanagement and Failure,"While it is commonly accepted that the term ‘perpetuity’, in this context, means the ‘duration of the offset for an indefinite period of time’ (Brown 1993; Greene 2004), it would be irrational to expect a biodiversity offset to persist as originally conceived over evolutionary or geological time. Likewise, it would be unreasonable, from a practical perspective, to burden the developer’s descendants to the nth generation—particularly when the descendants may derive no direct benefit from the offset being in place—with the responsibility of its maintenance. Given this reasoning, there is a clear disjunct between the developer’s responsibilities and the tenure of the offset.

This disjunct, at least in the short to medium term, may be alleviated through the developer augmenting the physical offset with a financial mechanism that would fund its maintenance into the future (Brownlie and Botha 2009; Maron 2015). A direct requirement for the developer to fund the ongoing maintenance of the offset, however, suffers from equivalent shortfalls to those discussed above. The alternative would be for the developer to, a priori, set in place an independent financial investment mechanism in which the proceeds provide for the persistence of the offset (Rayment et al. 2014). While being the most reliable of offset funding mechanisms, it is also subject to a variety of risks that may limit its tenure. For instance, a significant adverse change in the economic climate of the country or non-performance of trustees (both of which lead to a depreciation of the financial investment), or the burden of the offset may be taken on legal review by a person who inherits a potentially economically unaffordable offset (e.g. body corporate, board of trustees, etc.). Should either circumstance arise, particularly when the offset has been in existence for several years, it would be a challenge for the government to revert to the developer—particularly when the government previously agreed to the financial model to fund the offset—to request additional funding for its maintenance. In this instance it may be argued, in at least from a fiducial perspective, that this liability becomes the government’s responsibility."
124,"Towards a fair, reliable, and practical verification framework for Blue Carbon-based CDR",2024,review and discussion,carbon,NA,NA,NA,NA,NA,NA,NA,seagrass; mangrove; salt marsh,Coastal/Marine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-physical; methodological,"Compliance, Legal, and Governance Risks; Misaligned Metrics, Standards, and Performance Criteria",Inadequate Policy Design; Oversimplified and Ecologically Misaligned Metrics,"While the international community has tried to take policy action, legislation on MRV is fragmented and insufficient. The Paris Agreement introduced 'the Mechanism', a global carbon market for UN-recognized carbon credits overseen by the 'Article 6.4 Supervisory Body' (6.4SB). In light of the recent COP28, the 6.4SB published recommendations on how to deal with CO2 removals, including MRV (Recommendation A6.4-SB009-A02). Unfortunately, Parties could not reach a decision in Dubai, and the Mechanism is still not operational. Until international policy changes are made, and a public verification mechanism can be developed, we will continue to rely on private and voluntary standards like VERRA's VCS. Unfortunately, though, the non-binding nature of these voluntary standards means that associated certificates cannot be counted towards countries' NDCs, and are therefore unable to address the largest fraction of human emissions. In the end, this uncertainty regarding which legal body is responsible for the MRV and certification of carbon credits is a major challenge for legislators trying to create a reliable MRV framework for BCE-based CDR."
125,Uncertainty in US forest carbon storage potential due to climate risks,2023,modeling,carbon,North America,United States of America,NA,NA,NA,NA,NA,forest,Forest,NA,NA,California Forest Carbon Offsets,compliance,project-based mechanism,active,subnational,USA,California ARB Offset Program,NA,California Global Warming Solutions Act,legislation,Statutory law passed by a legislature.,subnational,"Applies to states, provinces, or regions.",USA,active,2006,Mandated GHG emissions reductions and enabled the creation of California's Cap-and-Trade Program.,physical,Climate and Environmental Disturbances,Fire; Drought; Climate Change,"We then examined how future climate-driven permanence risks (wildfires and climate-stress-driven tree mortality) impact the potential of C storage in CONUS forests. While it can be challenging to separate out the effects of climate from other effects on C balance dynamics, we focus explicitly here on climate-driven permanence risks as the non-stationary, climate-sensitive disturbance trends that will lower the long-term average C storage of the region (rather than the given disturbance and regrowth dynamics at individual sites or patches), thereby putting more C in the atmosphere and accelerating climate change. Projections of climate-stress-induced tree mortality, expected to be particularly severe in the southwestern CONUS, offset this potential on average by 13%, reducing C gains by 3 Pg C compared with the no-disturbance scenario (Fig. 2b). Wildfire-associated tree mortality added more uncertainty and further decreased C storage potential. We quantified four wildfire mortality ‘severity’ scenarios (25%, 50%, 75% and 100% tree mortality; see Methods) to capture the wide range of potential C losses due to wildfire. Climate stress and four fire severity scenarios projected net C gains by 22 ± 1.5%, 17.2 ± 2.9%, 18.8 ± 2.8% and 14.7 ± 3.9% (corresponding to 5.1 ± 0.4, 4 ± 0.7, 4.4 ± 0.7 and 3.4 ± 0.9 Pg C), compared with 40.6 ± 1.3% with no climate stress or fire disturbance (Fig. 2c–e and Extended Data Fig. 1a). Exploring climate-sensitive disturbances in ESMs directly for comparison, we found that ESMs predicted 73.5 ± 45.5% more total fire CO2 emissions in CONUS forests in the future (Fig. 2f). For SSP5-8.5, we observed substantially higher climate-driven C losses due to accelerated wildfire risks and climate change (Extended Data Figs. 1b and 3) than those in SSP2-4.5, indicating that climate-driven permanence risks can fundamentally compromise forest C storage potential in high-emissions scenarios, particularly in drier ecosystems across the western United States."
126,Uncovering opportunities for effective species conservation banking requires navigating technical and practical complexities,2021,direct empirical,biodiversity,North America,United States of America,NA,NA,NA,NA,NA,NA,NA,species conservation,Species Management,US Conservation Banking,compliance,banking,active,national,USA,NA,Mitigation Banking,US Endangered Species Act,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1973,Establishes protections for listed species and their habitats and enables use of conservation banking.,non-physical; physical,"Compliance, Legal, and Governance Risks; Data, Transparency, and Capacity Issues; Political Risks; Climate and Environmental Disturbances","Lack of Liability and Accountability; Limited Data Transparency; Capacity, Expertise, and Resource Gaps; Regulatory Inconsistency and Institutional Fragmentation; Climate Change","The dependence of the market for SCB credits on regulatory drivers was a challenge perceived by most participants (Quote 3A). Future demand for credits is influenced by changes in policy, legislation, regulations and guidance, and the interpretation and enforcement of these by regulatory agencies. Participants across all stakeholder groups identified the current US political context, specifically the weakening of environmental laws and potential changes in the requirements for mitigation, as leading to increased uncertainty in the market, and hence reduced demand for species credits. Many agency staff and developers suggested that a lack of staff, time and financial resources led to difficulties maintaining oversight of banks and delays in bank approval times. Several government staff, NGOs, practitioners and researchers, were concerned about a lack of biological information and knowledge of endangered species targeted by conservation banks, which made managing habitat for those species difficult and uncertain, as actions could not be founded upon evidence. A small number of participants, from across stakeholder groups, identified the lack of transparency in much of the data collected by banks, and the inadequacy of the available information, hindered research to determine the ecological and economic outcomes of conservation banking (Quote 6C).

Through a combination of land use restrictions (i.e., conservation easements), long-term management plans and financial instruments (i.e., endowment funds), participants generally agreed that the long-term commitments required by the USFWS are adequate, or at least better than alternative mitigation mechanisms, for ensuring the persistence of endangered species in perpetuity (Quote 2A). However, some participants across stakeholder groups perceived the high and uncertain costs of perpetual management as a challenge (e.g., endowments; Quote 2B). Most nonregulatory government participants, some regulatory agency staff, a developer and a practitioner expressed concern that the system does not account for events outside of the banker's control, such as climate change-driven habitat changes within bank boundaries and shifts in species distributions, or force-majeure events (Quote 2C). For example, climate change may render a bank unsuitable for its endangered species, and therefore, remove a bank's credit generation potential."
127,Value and risks of expiring carbon credits from afforestation and reforestation projects under the CDM,2005,legal and policy,carbon,NA,NA,NA,NA,NA,NA,NA,forest,Forest,NA,NA,UNFCCC CDM,compliance,project-based mechanism,active,international,UNFCCC,NA,NA,Kyoto Protocol,international_agreement,Legally binding agreement among countries.,international,Applies globally or through international institutions.,Global,inactive,1997,Introduced CDM for carbon offsets.,non-physical; methodological,Financial Risks; Political Risks; Systemic Oversights and Risk Management Gaps,Financial Mismanagement and Failure; Regime Changes and Policy Reversal; Project Risk Oversight Gaps,"Failure of the operating company in the host country: Failure of the local project operator need not have repercussions on the verifiable sequestration level. The project will go on if the new owners continue the management of the project. Continued management implies the implementation of the measures outlined in the monitoring plans if, during the takeover negotiations, monitoring does not fall behind, thus affecting the next verification by the DOE (see section on ‘Interruption of monitoring and verification’). Community schemes may be less likely to fail, as single dropouts will not necessarily endanger the whole project. The risk of failure of the operating company can be mitigated by conservatively checking the project’s financial and economic feasibility.

Interruption of monitoring and verification cycle: There is a risk that the project operator may lose interest in monitoring and verification. The ceasing of project monitoring and verification (M&V) will lead to the project becoming a defunct CDM project. This risk is differentiated between tCERs and lCERs. As tCERs are paid on delivery, there is always an incentive to go on with M&V, as long as the returns at least cover both activities. Where the lCERs are paid on delivery after selling all potential credits, there would no longer be an incentive for M&V continuation. It is clear that monitoring will only go on if this activity is adequately funded by a compliance fund. Therefore, after the initial phase of stock build-up, a proportion of the carbon proceeds needs to be withheld in an escrow and partially disbursed on every successful reverification. Part of this amount could be contracted with the designated operational entity (DOE), the certifier, while another part needs to be transferred to the company that does regular project monitoring – in most cases the proper project operator. 

Annex-I Company default: The Annex-I company using the expiring CER for compliance within a national emissions trading system, for example, fails. If the risk of expiring CERs was internalized within this company, lCER to tCER replacement at the end of the crediting period will not be given. In any event, at the national level, the Annex I country holding the expiring CER in its registry must take over liability. Therefore, it is usual to ask the company for some sort of external insurance or other coverage.

Unplanned events in the host country: The host country may retroactively disapprove the project: Radical changes in government may lead to a risk for all types of foreign direct investment. The only possible risk mitigation is an appropriate choice of the host country. Social unrest leading to invasion and sequestration losses can be partially prevented through a social impact assessment. The risk of host countries being subject to secession or annexation can be mitigated if the investor country draws up a blacklist of countries whose institutional risks will not be covered by the investor country. There will be consensus between the investor and its government in most cases because CDM projects in high-risk countries are unlikely to be financed. Commercial host country risk insurance is in the range of 5% annually (Eyre and Mundy, 1999), which may become prohibitive for long-term projects."
128,"Virtual nature, violent accumulation: The ‘spectacular failure’ of carbon offsetting at a Ugandan National Park",2014,review and discussion,carbon,Africa,Uganda,NA,NA,NA,NA,NA,forest,Forest,reforestation,Restoration,NA,NA,NA,NA,NA,NA,NA,NGO-Delivered; Government-Delivered,NA,NA,NA,NA,NA,NA,NA,NA,NA,physical; non-physical,Direct Anthropogenic Disturbances; Socioeconomic and Equity Risks,Local-scale Activities; Land Tenure and Access Conflicts; Community Exclusion and Compensation Gaps,"Within a year of the original MoTTI-FACE Foundation contract being signed in November 1992, the Ugandan government resolved to upgrade Mount Elgon to national park status, and to remove ‘encroachers’ from within its boundaries (Gosalamang et al., 2008, Norgrove and Hulme, 2006, White, 2002). While the Ugandan Constitution and relevant land-use legislation afford the right to the state to seize land when it is deemed to be in the national interest (Government of Uganda, 1995, Hunt, 2004, Okuku, 2006), they also stipulate that both due warning and compensation must be provided to evictees. Official records of the evictions were not kept, however, and estimates now vary regarding the exact number of people displaced. For instance, Checker (2009, 45) – reviewing empirical work by Himmelfarb (2006, 16) – claims that the project resulted in the eviction of 6000 people. This figure is also cited by Sullivan (2011, 336). However, Himmelfarb’s fieldwork was limited only to a specific portion of the northern edge of Mount Elgon National Park, known as the Benet Resettlement Area, which is located in two of the least populated of the eight districts that currently border the protected area (Uganda Communications Commission [UCC], 2010). Indeed, estimates of human displacement from the national park as a whole tend to be much higher: Vangen (2009, 135) roughly estimates that the overall figure could exceed 150,000 persons. Likewise, Sean White (2002, 2–3) – then IUCN’s Chief Technical Advisor for the Mount Elgon region – estimates that the 25,000 ha of encroached forest could have fed as many as 84,000 households, or approximately 580,000 people at current household sizes. Regardless of the exact extent of the evictions, communities were not provided with official compensation either for the loss of land and property, nor for injuries sustained as a result of the evictions (Gosalamang et al., 2008, 44). Finally, one should note that while the bulk of these activities occurred in 1993, lower intensity paramilitary evictions continued over the next decade, and especially when the 1993 boundary was re-gazetted in 2002–3 with financial assistance from the World Bank’s Protected Areas Management for Sustainable Use (PAMSU) programme (Cavanagh, 2012, Norgrove and Hulme, 2006, White, 2002). Such paramilitary activities continue to prevent access to land, cultural sites, and forest resources in territory that was formerly occupied by communities.

Unsurprisingly, evicted populations resent the violent nature of this process, and do not relish enduring attempts to obscure the relationship between the region’s history of uncompensated eviction and existing carbon offset projects. In further developing this discussion, the next section examines the ways in which UWA and the FACE Foundation selectively ignored such inconvenient aspects of the region’s resource management history, instead focusing rather disingenuously on the ‘benefits’ that were said to accrue to local populations. In particular, the auditors raised concerns about “political and social instability”, or the ability of both UWA and FACE to protect their new plantations from local encroachment for the proposed period of 99 years. As the report’s authors observed,
“[t]he political situation in the land surrounding Mt. Elgon is quite tense. There is a very high population density and land for cultivation is in very short supply. The decision to evict encroachers from the National Park has only served to increase the pressure on land outside the park. There is no doubt that local politicians can gain significant support by successfully arguing for a re-alignment of the park boundaries to afford their constituents access to more land” (SGS Agrocontrol, 2001, 40)."
129,West Virginia forest landowners' preferences for forest carbon offset programs,2024,direct empirical,carbon,North America,United States of America,West Virginia,State,NA,NA,NA,forest,Forest,reforestation; afforestation; forest conservation; improved forest management,Restoration; Creation; Protection; Ecosystem Management,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-physical,Socioeconomic and Equity Risks,"Incentive Misalignment, Opportunity Costs, and Landowner Behaviour","With regards to time commitment, landowners preferred shorter program duration than a longer one. It should be noted that the average age of respondents is 62 years old and age is one of the significant factors that influenced the willingness to enroll in a carbon offset program. Thus, landowners may be hesitant to sign a contract that would exceed their lifetime. In fact, among the program-specific variables evaluated, time commitment has the 2nd most substantial impact on enrollment based on the magnitude of the marginal effects of the Time40 and Time100 variables. Thus, extending the time commitment to 40 or 100 years from 1 to 5 years increased landowner WTA by $22/ha/year or $37/ha/year. This could pose as a challenge as most forest carbon programs require landowners to make decades-term commitments to account for offset permanence, which can discourage landowner participation from the outset (Galik et al., 2022). In addition, landowners are usually hesitant to participate in long carbon contracts because of the opportunity costs involved. For example, they may be concerned about the impact on their property value because delaying harvest too long can increase the risk of storm damage or disease, which in turn can reduce both the market and aesthetic value of the stand (Kreye et al., 2023). Thus, they need to be paid more to compensate them for this possible loss. To make programs more appealing to landowners, newer approaches have been developed that provide shorter project commitments. This includes 10–20 years standard of FFCP and the 1-year harvest deferral program of NCX. However, the 1-year program by NCX offered in 2018 has been discontinued due to lack of final approval from the developer of carbon standards, VERRA (Trendafilova, 2024). While shorter project periods are needed to attract new participants in the market, careful consideration must be given as these shorter programs tend to result in projects with higher risk of carbon removal reversals (Dutschke, 2002; van Kooten, 2009). This could undermine the fundamental role of offset programs in climate change mitigation, reduce confidence in the carbon market, and place large financial risk on the project developers. Thus, using appropriate carbon accounting models to provide key insights on the opportunities and tradeoffs among different program choices (e.g., long-term versus short-term projects) becomes important (Galik et al., 2022; Matthews, 2023). Therefore, short-term carbon-offset projects can offer feasible solutions for landowners.
The presence of an early withdrawal penalty also negatively affected the likelihood that landowners would enroll in a carbon offset program. After revenue, this variable was the 2nd most important attribute among Vermont landowners (White et al., 2018) but the 3rd most important program-specific attributes in this study based on the magnitude of its marginal effect. While also a significant factor for WV landowners, this attribute seems to be less important compared to harvest restriction and time commitment. However, incorporating early withdrawal penalty in program design requires an additional revenue payment of $19/ha/year compared to having no penalty at all. This highlights again that having stringent program attributes may deter enrollment unless landowners are compensated more. Currently, most programs available to FFL have early withdrawal penalties."
130,Wetland Compensation and Landscape Change in a Rapidly Urbanizing Context,2021,direct empirical,biodiversity,North America,United States of America,Minnesota,State,NA,NA,NA,wetland,Wetland,wetland restoration,Restoration,US CWA 404 Permitting,compliance,permitting,active,national,USA,NA,Permittee-Responsible,US Clean Water Act Section 404,legislation,Statutory law passed by a legislature.,national,Applies to a single country at federal level.,USA,active,1972,Section 404 governs permitting for wetland and stream impacts.,physical,Direct Anthropogenic Disturbances,Landscape-level Pressures,"To summarize our work here together with Robertson et al. (2018), our results are consistent with hydrology-driven floristic decline at the site level accompanied by the fragmentation of compensation landscapes and rapid change even at reference sites in and near the SWWD. This substantiates Zedler’s (1996) contention that compensation sites are often disadvantageously located or placed in landscapes that are becoming more structrually heterogeneous or fragmented. Our findings also lend support to Brinson and Rheinhardt’s (1996) conclusion that, in urbanizing areas, “Landscape conditions are lacking for the creation of fully functioning wetlands”.

In the language of the Clean Water Act, these declines in compensation site function can be considered cumulative and indirect impacts, and by regulation must be considered in all subsequent compensation requirements. Measures in future compensation could include planting to augment cover diversity and richness, or increased compensation ratios for proposed impacts; Stein and Ambrose (1998) calculate and suggest such amended ratios as a result of their study of compensation failure in California. Planning for landscape fragmentation, rapid change, and hydrologic impacts must be built into the all compensation planning and design. In this, the Corps of Engineers and other permitting agencies will confront the awkward consequence that, because they are responsible for creating compensation success criteria that respond to forces far beyond the boundaries of the compensation site, they must extend their assessment activities beyond the site itself.

 The watersheds of these 22 compensation sites are characterized by rapid urbanization, the increase in impervious surfaces, and the loss of agriculture. This has resulted in extreme hydrographs at compensation sites and a fragmenting landscape context of more and smaller undeveloped patches."
